"Plot Title: FL_Keys_Tank3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20663196, SEN S/N: 20663196, LBL: FL_Keys_Tank3)","Coupler Detached (LGR S/N: 20663196)","Bad Battery (LGR S/N: 20663196)","Good Battery (LGR S/N: 20663196)","Coupler Attached (LGR S/N: 20663196)","Host Connected (LGR S/N: 20663196)","Stopped (LGR S/N: 20663196)","End Of File (LGR S/N: 20663196)"
429,06/06/21 09:07:39 PM,30.356,,,,,,,
430,06/06/21 09:08:39 PM,30.356,,,,,,,
431,06/06/21 09:09:39 PM,30.356,,,,,,,
432,06/06/21 09:10:39 PM,30.356,,,,,,,
433,06/06/21 09:11:39 PM,30.356,,,,,,,
434,06/06/21 09:12:39 PM,30.356,,,,,,,
435,06/06/21 09:13:39 PM,30.356,,,,,,,
436,06/06/21 09:14:39 PM,30.356,,,,,,,
437,06/06/21 09:15:39 PM,30.356,,,,,,,
438,06/06/21 09:16:39 PM,30.356,,,,,,,
439,06/06/21 09:17:39 PM,30.356,,,,,,,
440,06/06/21 09:18:39 PM,30.356,,,,,,,
441,06/06/21 09:19:39 PM,30.356,,,,,,,
442,06/06/21 09:20:39 PM,30.356,,,,,,,
443,06/06/21 09:21:39 PM,30.356,,,,,,,
444,06/06/21 09:22:39 PM,30.356,,,,,,,
445,06/06/21 09:23:39 PM,30.356,,,,,,,
446,06/06/21 09:24:39 PM,30.356,,,,,,,
447,06/06/21 09:25:39 PM,30.356,,,,,,,
448,06/06/21 09:26:39 PM,30.356,,,,,,,
449,06/06/21 09:27:39 PM,30.356,,,,,,,
450,06/06/21 09:28:39 PM,30.356,,,,,,,
451,06/06/21 09:29:39 PM,30.356,,,,,,,
452,06/06/21 09:30:39 PM,30.356,,,,,,,
