Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R1	15478465	5572922	15478465	2321769750	952020	2305779588	0.6887057599057788
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R2	15478465	5594967	15478465	2321769750	1536030	2305095378	0.7181750903594123
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R1	16891122	5964875	16891122	2533668300	2322697	2518171623	0.6116300622303243
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R2	16891122	5951720	16891122	2533668300	2696388	2517895687	0.6225208327388395
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R1	11727168	4066511	11727168	1759075200	1460228	1748740034	0.5875340633532893
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R2	11727168	4059406	11727168	1759075200	1789701	1748427283	0.6053133487414296
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R1	19729821	7296395	19729821	2959473150	4406642	2731591022	7.700091078711087
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R2	19729821	7230982	19729821	2959473150	4978657	2731660623	7.697739274978724
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R1	23160298	15991616	23160298	3474044700	1024373	1919269449	44.75403701627673
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R2	23160298	15978998	23160298	3474044700	3284570	1921431086	44.69181452961731
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R1	14711794	5025332	14711794	2206769100	1081880	2184238774	1.0209643591619986
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R2	14711794	5022765	14711794	2206769100	1894270	2183415699	1.0582620991022578
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R1	20295287	7262349	20295287	3044293050	2571135	2997883242	1.5244855615986117
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R2	20295287	7234584	20295287	3044293050	2995260	2998026832	1.5197688671923355
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R1	20934101	8316706	20934101	3140115150	5858339	3111265586	0.9187422314751738
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R2	20934101	8055377	20934101	3140115150	7958372	3109892856	0.9624581442499012
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R1	19203754	7898415	19203754	2880563100	1328502	2608438081	9.446938308693879
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R2	19203754	7897782	19203754	2880563100	2445275	2608020654	9.46142946842581
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R1	19266273	6325781	19266273	2889940950	1270606	2866999408	0.7938412028799411
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R2	19266273	6323561	19266273	2889940950	2153359	2866091969	0.8252411178159194
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R1	26603637	8971891	26603637	3990545550	2444925	3969811334	0.5195834940413097
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R2	26603637	8940703	26603637	3990545550	3643653	3968745281	0.5462979616909773
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R1	20928055	7843475	20928055	3139208250	1950994	2975847850	5.2038726643891815
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R2	20928055	7871642	20928055	3139208250	2957613	2975400476	5.218123837435761
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R1	16811119	5623896	16811119	2521667850	1690208	2482809846	1.540964405760259
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R2	16811119	5618216	16811119	2521667850	2249765	2487134562	1.3694621993931515
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R1	14381474	4835708	14381474	2157221100	1233169	2145121651	0.56088126525371
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R2	14381474	4813725	14381474	2157221100	1649023	2144832298	0.574294493967262
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R1	15952371	5345867	15952371	2392855650	1159615	2378089146	0.617108014852463
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R2	15952371	5340838	15952371	2392855650	1588377	2377761099	0.6308174502711854
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R1	21752138	7320430	21752138	3262820700	1876697	3244376041	0.5652979644269144
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R2	21752138	7304070	21752138	3262820700	2594367	3244006563	0.5766218474708096
